latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
15.76346,-93.18028,334.43,0.48,0.4,2026-05-02,1945,N20,VIIRS,n,2.0NRT,304.3,5.53,D
15.73647,-93.1312,330.88,0.48,0.4,2026-05-02,1945,N20,VIIRS,l,2.0NRT,303.09,2.43,D
15.72145,-93.18721,332.75,0.48,0.4,2026-05-02,1945,N20,VIIRS,n,2.0NRT,303.57,3.12,D
15.86785,-92.98441,304.49,0.42,0.37,2026-05-04,0758,N20,VIIRS,n,2.0NRT,288.6,1.13,N
15.8672,-92.98053,307.92,0.42,0.37,2026-05-04,0758,N20,VIIRS,n,2.0NRT,288.53,1.13,N
15.86508,-92.98886,325.16,0.42,0.37,2026-05-04,0758,N20,VIIRS,n,2.0NRT,289.95,1.97,N
15.86574,-92.99279,305.89,0.42,0.37,2026-05-04,0758,N20,VIIRS,n,2.0NRT,288.56,1.97,N
15.86378,-92.98107,301.36,0.42,0.37,2026-05-04,0758,N20,VIIRS,n,2.0NRT,288.61,1.25,N
15.86443,-92.98496,315.01,0.42,0.37,2026-05-04,0758,N20,VIIRS,n,2.0NRT,289.33,1.25,N
15.87127,-92.98386,307.96,0.42,0.37,2026-05-04,0758,N20,VIIRS,n,2.0NRT,288.45,1.13,N
15.8685,-92.9883,298.99,0.42,0.37,2026-05-04,0758,N20,VIIRS,n,2.0NRT,288.11,0.76,N
15.86086,-92.98215,344.79,0.42,0.45,2026-05-04,1908,N20,VIIRS,n,2.0NRT,288.26,9.43,D
15.86157,-92.9783,356.24,0.42,0.45,2026-05-04,1908,N20,VIIRS,l,2.0NRT,289.07,9.43,D
15.87403,-92.98015,343.23,0.42,0.45,2026-05-04,1908,N20,VIIRS,n,2.0NRT,291.91,4.76,D
15.87817,-92.98087,349.95,0.42,0.45,2026-05-04,1908,N20,VIIRS,n,2.0NRT,292.78,6.47,D
15.87751,-92.98451,331.7,0.42,0.45,2026-05-04,1908,N20,VIIRS,n,2.0NRT,290.96,6.47,D
15.84928,-93.29879,347.93,0.38,0.44,2026-05-07,1949,N20,VIIRS,n,2.0NRT,277.09,5.68,D
15.85148,-93.29948,348.54,0.38,0.44,2026-05-07,1949,N20,VIIRS,n,2.0NRT,278.81,6.91,D
15.52358,-92.53698,336.38,0.43,0.38,2026-05-13,1938,N20,VIIRS,n,2.0NRT,294.57,7.05,D
15.83278,-92.72449,340.62,0.43,0.38,2026-05-13,1938,N20,VIIRS,n,2.0NRT,302.33,3.72,D
15.87066,-92.99881,344.09,0.44,0.38,2026-05-14,1919,N20,VIIRS,n,2.0NRT,302.12,19.36,D
15.86848,-92.99031,349.12,0.44,0.38,2026-05-14,1919,N20,VIIRS,n,2.0NRT,302.2,15.13,D
15.86719,-92.99819,331.68,0.44,0.38,2026-05-14,1919,N20,VIIRS,l,2.0NRT,297.39,19.36,D
15.87197,-92.99086,333.52,0.44,0.38,2026-05-14,1919,N20,VIIRS,l,2.0NRT,296.74,15.13,D
15.87131,-92.99487,355.49,0.44,0.38,2026-05-14,1919,N20,VIIRS,n,2.0NRT,301.86,19.36,D
15.87926,-92.99288,325.63,0.39,0.36,2026-05-15,0752,N20,VIIRS,n,2.0NRT,290.38,2.19,N
15.87711,-93.00058,312.53,0.39,0.36,2026-05-15,0752,N20,VIIRS,n,2.0NRT,289.74,1.53,N
15.87438,-93.00472,310.85,0.39,0.36,2026-05-15,0752,N20,VIIRS,n,2.0NRT,289.27,0.68,N
15.86779,-93.00587,304.69,0.39,0.36,2026-05-15,0752,N20,VIIRS,n,2.0NRT,289.66,0.75,N
15.88274,-92.98694,339.85,0.54,0.51,2026-05-15,1900,N20,VIIRS,n,2.0NRT,296.21,4.71,D
15.89188,-92.9915,333.87,0.56,0.69,2026-05-16,1841,N20,VIIRS,n,2.0NRT,294.8,6.99,D
15.89407,-92.97251,337.22,0.32,0.55,2026-05-17,2004,N20,VIIRS,n,2.0NRT,300.91,4.94,D
15.90239,-92.98911,331.7,0.32,0.55,2026-05-17,2004,N20,VIIRS,n,2.0NRT,299.14,2.86,D
15.902,-92.99248,331.67,0.32,0.55,2026-05-17,2004,N20,VIIRS,n,2.0NRT,300.17,4.15,D
15.90162,-92.99578,339.58,0.32,0.55,2026-05-17,2004,N20,VIIRS,n,2.0NRT,302.09,4.15,D
15.90671,-92.99592,349.75,0.32,0.55,2026-05-17,2004,N20,VIIRS,n,2.0NRT,296.07,4.15,D
15.88398,-92.97131,344.47,0.32,0.55,2026-05-17,2004,N20,VIIRS,n,2.0NRT,300.87,6.07,D
